# 從《墨子引得》謄錄出來
畔	5/88654
留	3/82884
畜	3/01684
畝	5/08294
疾	4/02990
病	4/02720
益	2/90173
盍	3/37673
眞	3/71294
矩	5/99811
砥	5/78831
破	5/78341
祖	5/06873
祗	5/06830
祝	5/06811
神	5/06504
祟	3/28160
祠	5/06121
秘	5/06010
租	5/26873
秦	2/59260
秩	5/26290
秪	5/26830
笑	3/66290
粃	5/66710
純	5/66510
級	5/66740
紛	5/66920
素	3/57660
紡	5/66020
索	3/30060
缻	5/98710
罟	3/88384
?	5/72950		[歹羊]
翁	2/90620
耆	4/33782
耕	5/56551
耗	5/56210
耘	5/56160
耿	5/77693
胷	3/22822
能	5/62712
脂	5/82784
脇	5/82322
脊	2/19822
臭	3/28393
般	5/23840
芻	3/22220
茭	3/33040
茨	3/33190
荊	5/33221
荐	3/33330
荅	3/33981
茷	3/33950
蚤	2/84562
衰	3/01892
衾	2/90090
討	5/08301
訐	5/08731
託	5/08211
記	5/08812
豈	3/28111
財	5/89303
頁	3/77893
起	2/39811
軒	5/50734
辱	4/12130
迷	2/09660
迹	2/09020
追	2/09282
退	2/09892
送	2/09990
逃	2/09010
逆	2/09930
郢	5/87821
酌	5/78222
酒	5/01782
釜	2/90470
陛	5/82770
陝	5/82390
院	5/82010
陟	5/82220
除	5/82960
馬	2/82603
骨	3/32022
高	3/01822
鬲	3/18821
鬼	2/21604
乾	5/33912
偃	5/90812
假	5/90841
偏	5/90024
偕	5/90782
偝	5/90722
偞	5/90361
偪	5/90185
偶	5/90824
側	5/90823
?	5/90240		[亻爰]
剪	3/91822
勒	5/35323
動	5/27324
務	5/12920
匏	5/32211
匿	2/81381
區	2/81883
?	5/82222
參	3/60620
唫	5/88971
唯	5/88974
唱	5/88885
啓	2/04881
啖	5/88691
啜	5/88841
商	3/01921
問	2/82885
圉	2/88330
國	2/88501
埤	5/37234
?	5/37780
埴	5/37374
埶	5/37310
執	5/33319
基	3/37973
堂	3/69071
堅	3/84373
堀	5/37881
婢	5/34234
婦	5/34130
孰	5/03311
宿	3/02982
寃	3/02212
寄	3/02321
寅	3/02794
密	3/02080
寇	3/02110
將	5/27230
專	3/56304
尉	5/86301
?	4/82721
屏	4/82231
崇	3/28060
崩	3/28824
帶	3/31031
帷	5/30973
常	3/60031
庶	4/02361
康	4/02562
庸	4/02526
張	5/12890
